serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,monthly_income_imputed
0,0.909538698,53,1,0.5956539129999999,7500.0,16,0,1,0,1.0,5833.0
0,0.048244493,62,0,0.26287915300000003,16615.0,11,0,1,0,1.0,5400.0
0,0.074256375,49,0,0.347930414,5000.0,11,0,2,0,3.0,26062.0
0,0.191001932,54,0,0.7056277059999999,5081.0,10,0,2,0,2.0,4100.0
0,0.21938287899999998,56,1,942.0,4322.0,9,0,1,0,1.0,4322.0
0,0.547887778,29,1,0.24651504,2725.0,5,0,0,1,0.0,3000.0
0,0.271668778,46,1,0.282830201,15800.0,14,0,2,0,4.0,4000.0
0,0.25889775,33,0,0.537441339,4900.0,3,0,1,0,1.0,2100.0
0,0.6964116709999999,52,0,0.408871921,11000.0,11,0,1,0,4.0,5400.0
0,0.022890604,37,0,0.288477299,6100.0,16,0,1,0,0.0,5833.0
0,0.7275600209999998,38,0,0.7124587459999999,2423.0,6,0,1,0,1.0,6600.0
1,0.03719769,47,0,0.03975841,25000.0,11,0,1,0,3.0,5400.0
0,0.399946674,28,0,0.189702574,4000.0,6,0,0,0,1.0,4000.0
0,0.052653171,43,0,0.5722921910000001,1984.0,9,0,0,0,4.0,5000.0
1,0.880370887,43,0,0.461323764,7523.0,6,0,1,0,1.0,6600.0
0,0.429246267,59,0,0.381254316,15928.0,17,0,1,0,1.0,3300.0
0,0.0,47,0,773.0,9666.0,2,0,1,0,1.0,9666.0
0,0.360907571,72,0,0.35667928600000004,3697.0,6,0,1,0,0.0,6600.0
0,0.245841666,71,0,151.0,3000.0,5,0,0,0,0.0,3000.0
0,0.9999999,37,0,0.184625639,4500.0,2,0,0,0,1.0,8916.0
0,0.630073985,38,0,0.563328034,1886.0,3,0,1,0,0.0,2100.0
0,0.186682782,30,0,0.698120752,2500.0,7,0,2,0,2.0,7117.0
0,0.9472648560000002,28,0,0.467171717,1187.0,4,0,0,0,0.0,5400.0
0,0.502958087,57,0,6381.0,6500.0,5,0,2,0,0.0,6500.0
0,1.047495906,35,2,0.314566116,3871.0,8,0,2,1,3.0,3166.0
0,0.012586354,79,0,0.009596162,2500.0,11,0,0,0,0.0,6389.0
1,0.7391464879999998,63,1,0.285156885,6150.0,12,0,0,0,1.0,3800.0
0,0.571604587,66,0,870.0,3800.0,12,0,0,0,0.0,3800.0
0,0.017043518,43,0,0.10821382,2300.0,6,0,0,0,1.0,4000.0
0,0.060733396,61,0,0.008549573000000001,20000.0,8,0,0,0,0.0,1300.0
0,0.003894686,90,0,876.0,5400.0,11,0,1,0,0.0,5400.0
0,0.250008365,60,0,2.086478612,7550.0,26,0,0,0,0.0,8354.0
0,0.114588541,38,0,34.0,8916.0,2,0,0,0,0.0,8916.0
0,0.267905614,76,0,0.285452994,8200.0,12,0,0,0,0.0,3800.0
0,0.000685675,83,0,0.0,5400.0,4,0,0,0,0.0,5400.0
1,0.8024171790000002,58,1,668.0,3000.0,5,1,0,0,0.0,3000.0
0,0.9999999,42,1,0.113421853,6250.0,3,3,0,1,2.0,4593.0
0,0.006666096999999999,27,0,0.000268637,7444.0,5,0,0,0,0.0,3000.0
0,0.9999999,35,1,0.092985318,3064.0,1,0,0,0,3.0,17500.0
0,0.368866624,55,0,0.437996083,9700.0,18,0,2,0,0.0,5715.0
0,0.265705207,56,0,0.259102536,31666.0,8,0,3,0,1.0,3935.0
0,0.0,59,0,2113.0,6088.0,13,0,2,0,0.0,6088.0
0,0.030996074,56,0,0.131430952,4800.0,11,0,1,0,0.0,5400.0
0,0.032769199,70,0,724.0,5400.0,11,0,1,0,0.0,5400.0
1,0.733885463,49,2,0.369223765,8785.0,20,0,2,0,2.0,12500.0
0,0.0,73,0,0.386728192,4550.0,18,0,0,0,0.0,5300.0
0,0.9999999,79,0,0.130140954,5178.0,6,0,1,0,0.0,6600.0
0,0.212464485,58,0,0.518991188,3290.0,10,0,1,0,1.0,1350.0
0,0.014310431,56,0,13.0,8916.0,2,0,0,0,0.0,8916.0
0,0.319190816,49,0,0.358153388,9400.0,18,0,2,0,0.0,5715.0
0,0.03423863,48,0,2045.0,2100.0,3,0,1,0,0.0,2100.0
0,0.069987933,33,0,0.11400478300000001,3762.0,7,0,0,0,0.0,5800.0
0,0.067901335,69,0,0.065493451,10000.0,5,0,1,0,0.0,3000.0
0,0.7406351609999998,39,0,0.432010059,5566.0,7,0,1,0,0.0,0.0
0,0.092287617,61,0,0.229436075,7500.0,23,0,2,0,2.0,10959.0
0,0.05786766700000001,81,0,0.145685279,3939.0,13,0,0,0,0.0,9400.0
0,0.201943642,46,0,0.394460554,10000.0,15,0,2,0,3.0,2000.0
0,0.077958915,57,0,0.05353022599999999,6500.0,19,0,0,0,0.0,3591.0
1,0.57985084,42,0,0.594224361,2700.0,8,0,0,0,0.0,1300.0
0,0.079178219,82,0,0.176964607,5000.0,3,0,1,0,0.0,2100.0
0,0.073123172,33,0,0.216405216,5290.0,9,0,0,0,0.0,5000.0
0,0.719305764,64,0,0.186225718,6228.0,5,0,1,0,0.0,3000.0
0,0.045017363,72,0,0.020763907,3900.0,8,0,0,0,0.0,1300.0
0,0.35592819,48,0,0.478090767,7667.0,17,0,2,0,0.0,12000.0
0,0.57762185,71,1,0.4925,6399.0,14,0,2,0,1.0,4000.0
0,0.401789055,55,0,0.412779302,2550.0,11,0,0,0,0.0,6389.0
0,0.090641506,69,0,0.016683266999999998,4015.0,2,0,0,0,0.0,8916.0
0,0.018124667,60,0,0.023181455,1250.0,4,0,0,0,1.0,5400.0
0,0.290320472,48,0,0.262848568,7996.0,7,0,1,0,3.0,0.0
0,0.9999999,73,0,8500.0,0.0,2,0,0,0,0.0,8916.0
0,0.499666889,39,0,0.450171821,3200.0,8,0,1,0,0.0,4566.0
0,0.9999999,56,0,7.0,17500.0,1,0,0,0,0.0,17500.0
0,0.289470539,44,0,0.4825614,8916.0,17,0,2,0,1.0,12000.0
0,0.078497383,52,0,0.207274054,8220.0,5,0,1,0,3.0,3000.0
0,0.0,64,0,3819.0,6841.0,3,0,2,0,0.0,6841.0
0,0.014049886999999999,37,0,0.674399608,6120.0,9,0,1,0,0.0,4322.0
0,0.0,86,0,2.0,5000.0,9,0,0,0,0.0,5000.0
0,0.9999999,40,0,0.60616581,7200.0,6,0,3,0,0.0,7701.0
0,0.004552998,34,0,3.0,8916.0,2,0,0,0,0.0,8916.0
0,0.113165062,57,0,3169.0,5833.0,16,0,1,0,3.0,5833.0
0,0.732711215,29,0,0.33853112700000004,8400.0,10,0,1,0,0.0,1350.0
0,0.486651335,55,0,0.324741695,9000.0,10,0,2,0,0.0,4100.0
0,0.584844623,60,0,0.293637575,6003.0,11,0,1,0,0.0,5400.0
0,0.043861767,69,0,0.064119265,6908.0,7,0,1,0,0.0,0.0
0,0.064835195,56,2,0.197624587,8166.0,10,0,1,0,0.0,1350.0
0,0.9999999,55,1,0.138721351,4144.0,1,0,0,0,0.0,17500.0
0,0.5035879870000001,63,0,1.308922769,4000.0,16,0,1,0,0.0,5833.0
0,0.000309046,49,0,562.0,1350.0,10,0,1,0,0.0,1350.0
0,0.697812691,31,0,0.236980252,12000.0,10,0,0,0,1.0,3295.0
0,0.650432993,61,0,0.368063194,10000.0,10,0,1,0,1.0,1350.0
0,0.159116246,91,0,0.18412348399999998,1813.0,6,0,0,0,0.0,4000.0
0,0.7685371909999998,46,0,2568.0,3000.0,5,0,0,0,0.0,3000.0
0,0.002964536,67,0,0.349026844,16800.0,14,0,5,0,0.0,11833.0
0,0.048911121,63,0,0.102800764,6283.0,4,0,0,0,1.0,5400.0
1,0.387065977,51,0,0.35087418600000003,5833.0,12,0,1,2,1.0,4500.0
0,0.211206477,44,1,0.2138395,2080.0,13,1,0,1,0.0,9400.0
0,0.0,52,0,0.444444444,3500.0,5,0,2,0,1.0,6500.0
0,0.187090597,63,0,0.506873282,4000.0,10,0,2,0,1.0,4100.0
0,0.392141112,54,0,1.383017398,3850.0,18,0,2,0,2.0,5715.0
0,0.193612774,47,0,0.020146833,5856.0,1,0,0,0,3.0,17500.0
0,0.346960384,41,0,1.432686655,1700.0,13,0,3,0,2.0,12000.0
0,0.9999999,40,0,2866.0,0.0,2,0,2,0,0.0,5000.0
0,0.10469376300000001,36,0,0.297372704,4300.0,8,0,1,0,1.0,4566.0
0,0.046740048,57,0,0.404799866,11916.0,13,0,3,0,0.0,12000.0
1,0.402345742,37,0,0.337622356,12667.0,16,0,2,0,3.0,8600.0
0,0.010350125,52,0,0.258589038,3812.0,6,0,1,0,1.0,6600.0
0,0.0,36,0,0.370418677,7666.0,4,0,1,0,2.0,4187.0
0,0.0,33,0,0.238212526,2841.0,9,0,0,0,0.0,5000.0
0,0.037849716,62,0,0.16289178699999998,8741.0,15,0,1,0,0.0,7100.0
0,0.133688867,49,0,0.09352218300000001,4800.0,7,0,0,0,2.0,5800.0
0,0.8271510129999998,56,1,0.219974716,8700.0,8,0,0,1,1.0,1300.0
0,0.442798278,51,0,2092.0,6389.0,11,0,0,0,2.0,6389.0
0,0.025082109,57,0,0.3608797070000001,3000.0,15,0,0,0,0.0,1.0
0,0.9999999,75,0,8.0,8916.0,2,0,0,0,0.0,8916.0
0,0.569824212,40,0,0.361421689,11000.0,18,0,1,0,2.0,750.0
0,0.914867126,40,0,0.517037339,4900.0,7,0,1,0,1.0,0.0
0,0.964561473,35,4,0.305839582,4400.0,10,3,0,2,2.0,3295.0
0,0.02731285,65,0,0.325335893,2083.0,6,0,0,0,0.0,4000.0
0,0.180162143,40,0,0.448326668,9501.0,15,0,2,0,1.0,2000.0
0,0.054940099000000006,35,0,0.662152897,5833.0,10,0,2,0,2.0,4100.0
0,0.030513202000000007,68,0,48.0,4000.0,6,0,0,0,0.0,4000.0
0,0.019883105,64,0,0.028599606,6083.0,16,0,0,0,0.0,5716.0
0,0.9999999,32,0,0.177955511,4000.0,1,2,0,0,0.0,17500.0
0,0.07953842,53,0,2958.0,4322.0,9,0,1,0,2.0,4322.0
0,0.25250536100000004,52,0,0.442592901,6000.0,13,0,1,0,2.0,3000.0
0,0.035670256000000004,62,0,0.427674963,9401.0,9,0,4,0,0.0,900.0
0,0.045516721,40,0,0.090355422,11000.0,12,0,0,0,3.0,3800.0
0,0.292159285,78,0,605.0,3000.0,5,0,0,0,0.0,3000.0
0,0.049082484,63,2,0.361938937,16441.0,12,0,1,0,1.0,4500.0
0,0.254548841,56,0,0.461357487,8500.0,15,0,2,0,4.0,2000.0
0,0.073191767,54,0,0.020708083,4490.0,4,0,0,0,0.0,5400.0
0,0.473663158,36,1,0.650674663,2000.0,8,0,0,0,0.0,1300.0
0,0.061214562,35,0,0.453692681,21000.0,7,0,2,0,0.0,7117.0
0,0.084589254,76,0,0.044093178,1201.0,8,0,0,0,0.0,1300.0
0,0.111715105,47,0,0.315173697,16666.0,12,0,2,0,3.0,13900.0
0,0.0,62,0,17.0,5400.0,4,0,0,0,0.0,5400.0
0,0.249922521,63,2,0.25431323100000003,19416.0,18,0,2,0,1.0,5715.0
0,0.14060251,56,0,0.049700447,11850.0,11,0,0,0,2.0,6389.0
0,0.002140517,89,1,5.0,0.0,4,0,0,0,0.0,5400.0
0,0.072377744,48,0,0.399050079,12000.0,9,0,2,0,0.0,17560.0
0,0.917428326,66,1,2410.0,7117.0,7,1,2,0,0.0,7117.0
0,0.982477859,36,0,0.508163945,3000.0,3,0,1,0,0.0,2100.0
0,0.01087466,82,0,0.001287001,7769.0,6,0,0,0,0.0,4000.0
0,0.04564894,27,0,0.274952015,4167.0,21,0,1,0,0.0,5168.0
0,0.06740074900000001,26,0,0.166517857,4479.0,10,0,0,0,0.0,3295.0
0,0.975146408,33,0,0.332280979,3800.0,4,0,0,0,2.0,5400.0
0,0.255610417,54,0,0.528550512,3414.0,9,0,1,0,1.0,4322.0
0,0.9999999,24,0,0.0,3833.0,1,0,0,0,0.0,17500.0
0,0.101551406,47,0,228.0,4000.0,6,0,0,0,0.0,4000.0
0,0.0,87,0,2.0,8916.0,2,0,0,0,0.0,8916.0
0,0.19877594,83,0,0.217065334,2800.0,9,0,0,0,0.0,5000.0
0,0.178964154,56,0,0.552930754,6772.0,6,0,1,0,1.0,6600.0
0,0.003550639000000001,73,0,415.0,6389.0,11,0,0,0,0.0,6389.0
0,0.011343376,85,0,13.0,3000.0,5,0,0,0,0.0,3000.0
0,0.158100266,45,2,0.475322703,3950.0,19,0,1,0,1.0,12958.0
0,0.524915836,32,0,969.0,4000.0,6,0,0,0,0.0,4000.0
0,0.0,63,0,779.0,6600.0,6,0,1,0,0.0,6600.0
0,0.292567833,64,0,2231.0,0.0,5,0,1,0,0.0,3000.0
0,0.835311508,31,1,0.332527053,7854.0,9,0,1,0,0.0,4322.0
0,0.5112397,58,0,0.963084409,9453.0,13,0,3,0,1.0,12000.0
1,0.0,44,0,6046.0,16166.0,9,0,3,0,0.0,16166.0
0,0.0,68,0,0.090386385,4347.0,5,0,0,0,0.0,3000.0
1,0.71976008,47,0,64.0,8916.0,2,2,0,0,0.0,8916.0
0,0.328684508,51,0,1874.0,6600.0,6,0,1,0,0.0,6600.0
0,0.028083912000000003,50,0,0.380976732,3910.0,20,0,0,0,3.0,3000.0
0,0.457154579,50,0,0.10342511800000001,13400.0,7,0,0,0,2.0,5800.0
0,0.6072056220000001,63,0,4627.0,7100.0,15,0,1,0,0.0,7100.0
0,0.000237284,64,0,0.427787663,6743.0,10,0,1,0,0.0,1350.0
0,0.738420926,72,0,2367.0,5400.0,11,0,1,0,0.0,5400.0
0,0.086492476,64,0,0.07473431599999998,5833.0,8,0,1,0,1.0,4566.0
0,0.105969699,55,0,3063.0,4566.0,8,0,1,0,0.0,4566.0
0,0.9999999,26,0,0.137820513,1871.0,1,0,0,0,0.0,17500.0
0,0.606025418,39,3,0.375647341,7916.0,10,0,2,0,2.0,4100.0
0,0.347921078,42,0,0.373740482,13000.0,11,0,2,0,2.0,26062.0
0,0.187797808,85,0,790.0,4000.0,6,0,0,0,0.0,4000.0
0,0.196960608,40,0,0.006959443,4166.0,1,0,0,0,0.0,17500.0
0,0.397244161,25,0,0.294852574,2000.0,5,0,0,0,0.0,3000.0
1,1.362141746,73,1,274.0,8916.0,2,3,0,1,0.0,8916.0
0,0.8224002309999998,63,0,0.515793683,2500.0,12,0,0,0,0.0,3800.0
0,0.3910456020000001,24,0,0.069040925,3200.0,11,0,0,0,0.0,6389.0
0,0.028775625,44,0,0.137224283,5122.0,4,0,0,0,0.0,5400.0
0,0.477367751,36,0,0.33987412100000003,2700.0,6,0,0,0,0.0,4000.0
0,0.018538176,74,0,1184.0,4566.0,8,0,1,0,0.0,4566.0
0,0.041366785,45,0,0.224577542,10000.0,8,0,0,0,2.0,1300.0
0,0.994269551,41,0,2809.0,6500.0,5,0,2,0,0.0,6500.0
0,0.163750645,65,0,0.266873313,10000.0,13,0,1,0,0.0,3000.0
0,0.08638272299999998,38,0,2615.0,6600.0,6,0,1,0,0.0,6600.0
0,0.029132576,68,0,0.008222093,10337.0,10,0,1,0,1.0,1350.0
0,0.0,80,1,1589.0,4566.0,8,0,1,0,0.0,4566.0
0,0.001882242,50,0,1.317473011,2500.0,9,0,2,0,1.0,17560.0
0,0.0,70,0,0.0,3500.0,6,0,0,0,0.0,4000.0
0,0.077910174,82,0,162.0,8916.0,2,0,0,0,0.0,8916.0
0,0.7491335640000002,50,2,0.432119554,4750.0,17,0,1,0,0.0,3300.0
0,0.041992219,32,0,85.0,5800.0,7,0,0,0,0.0,5800.0
0,0.110327321,52,0,0.313439924,6316.0,16,0,2,0,1.0,8600.0
0,0.275946359,57,1,0.283411686,13400.0,10,0,1,0,0.0,1350.0
0,0.352989385,59,1,0.43955635,13433.0,18,0,2,0,2.0,5715.0
0,0.257067036,37,0,0.291809152,6140.0,6,0,0,0,4.0,4000.0
0,0.9999999,42,0,0.217236784,2250.0,1,0,0,0,2.0,17500.0
0,0.0018904579999999998,47,3,0.268693009,6579.0,15,0,2,2,1.0,2000.0
0,0.399033876,32,0,0.433893685,2200.0,7,0,0,0,0.0,5800.0
0,0.24593085399999998,39,0,0.537720414,5500.0,11,0,1,0,1.0,5400.0
0,0.003957859,52,0,2574.0,5400.0,11,0,1,0,2.0,5400.0
1,0.017558727,47,0,0.53540175,2513.0,10,1,1,0,0.0,1350.0
0,0.284499685,66,0,1408.0,1300.0,8,0,0,0,1.0,1300.0
0,0.9999999,38,1,0.13407134099999998,6503.0,1,0,0,0,3.0,17500.0
1,0.546513871,35,0,0.93824256,8500.0,17,0,4,0,2.0,7000.0
0,0.039686202,46,0,7.0,4000.0,6,0,0,0,1.0,4000.0
0,0.631259134,39,0,0.273340433,2816.0,7,0,0,0,0.0,5800.0
0,0.530405318,61,1,0.469418849,13782.0,22,0,2,0,0.0,5670.0
0,0.088911089,35,0,0.000526177,3800.0,3,0,0,0,0.0,4593.0
0,0.9877433309999999,50,0,0.4474,9999.0,13,0,2,0,0.0,6088.0
0,0.9999999,68,1,0.0,2400.0,0,1,0,0,0.0,2400.0
0,0.218991588,54,0,0.586137954,3000.0,13,0,1,0,0.0,3000.0
0,0.0,45,0,0.365016502,7574.0,10,0,2,0,1.0,4100.0
0,0.034754891,73,0,1627.0,13900.0,12,0,2,0,0.0,13900.0
0,0.68028326,80,0,0.42985336,4568.0,6,0,1,0,0.0,6600.0
0,0.179110121,41,0,0.27491843,9500.0,10,1,1,0,2.0,1350.0
0,0.9999999,43,0,0.129623459,3000.0,1,0,0,0,0.0,17500.0
0,0.0,87,0,0.067381539,6900.0,4,0,0,0,1.0,5400.0
0,0.0,37,0,0.372395469,7150.0,3,0,2,0,2.0,6841.0
0,0.595112469,33,0,0.378525482,2020.0,3,0,0,0,0.0,4593.0
0,0.223677632,67,0,0.326283407,5200.0,4,0,1,0,2.0,4187.0
0,0.328303003,59,1,0.480057771,9000.0,9,0,2,0,0.0,17560.0
0,0.572324438,50,0,1.052171197,3200.0,12,0,1,0,3.0,4500.0
0,0.9604313980000002,63,0,0.31506036,5052.0,3,0,1,0,1.0,2100.0
0,0.12347136199999999,63,0,0.364188164,2635.0,6,0,1,0,1.0,6600.0
0,0.307191593,39,0,0.607185223,5900.0,5,0,2,0,0.0,6500.0
0,0.004104170999999999,55,1,1.0,0.0,5,0,0,1,0.0,3000.0
0,0.013713796,47,0,0.401267976,6466.0,6,0,2,0,0.0,18000.0
0,0.26735262600000004,72,0,0.426685865,4166.0,10,0,2,0,0.0,4100.0
0,0.0,48,0,0.05692407,10838.0,4,0,0,0,1.0,5400.0
0,0.007353556,80,0,0.29991431,3500.0,16,0,0,0,1.0,5716.0
0,0.9999999,38,1,17.0,17500.0,1,0,0,0,0.0,17500.0
0,0.28910532,55,0,0.939430965,5728.0,17,0,3,0,0.0,11003.0
0,0.17988008,23,0,0.003127443,2557.0,2,0,0,0,0.0,8916.0
0,0.226957563,80,0,0.4375,4079.0,11,0,1,0,1.0,5400.0
0,0.023237542000000003,58,0,0.812428571,6999.0,19,0,3,0,1.0,4318.0
0,0.01718597,48,0,0.348886815,7500.0,8,0,3,0,2.0,3935.0
0,0.506995336,29,0,0.5029988000000001,2500.0,6,0,1,1,0.0,6600.0
0,0.321934593,44,0,1383.0,7117.0,7,0,2,0,1.0,7117.0
0,0.823059361,71,1,2061.0,4000.0,6,1,0,1,0.0,4000.0
0,0.099482078,44,0,0.431368631,5004.0,7,0,1,0,3.0,0.0
0,0.4183978820000001,58,0,0.414148447,7180.0,14,0,2,0,0.0,4000.0
0,0.109278443,54,0,1370.0,3000.0,5,0,1,0,0.0,3000.0
0,0.386875937,48,0,0.11908301800000001,20850.0,19,0,0,0,2.0,3591.0
0,0.126458612,60,0,263.0,5800.0,7,0,0,0,0.0,5800.0
0,0.281812558,79,1,0.304637654,10500.0,16,0,2,0,1.0,8600.0
0,0.058309113,70,0,0.723310676,2500.0,12,0,2,0,0.0,13900.0
0,0.07566236099999998,63,0,0.315812527,6848.0,7,0,2,0,0.0,7117.0
1,0.08764940199999999,27,0,0.009995457,2200.0,2,0,0,1,1.0,8916.0
0,0.19129696,70,0,0.213109877,10083.0,15,0,1,0,0.0,7100.0
0,0.1031864,75,0,0.136302675,14166.0,5,0,2,0,0.0,6500.0
0,0.9999999,50,0,0.9148573860000002,2348.0,5,0,1,0,0.0,3000.0
0,0.0,48,0,4212.0,7701.0,6,0,3,0,0.0,7701.0
0,0.096009775,53,0,0.545157068,4583.0,8,0,1,0,1.0,4566.0
0,0.0,37,1,1898.0,2100.0,3,0,1,0,0.0,2100.0
0,0.019391297,68,0,0.06457714099999999,3700.0,9,0,0,0,1.0,5000.0
0,0.0007777599999999998,74,0,0.209539523,13333.0,6,0,3,0,0.0,7701.0
0,0.083984419,49,0,2461.0,6500.0,5,0,2,0,3.0,6500.0
0,0.05841615400000001,29,0,0.299711296,5541.0,10,0,0,0,0.0,3295.0
0,0.9999999,27,0,0.014697237,1700.0,0,0,0,0,1.0,2400.0
0,0.593788744,63,0,3400.0,6088.0,13,0,2,0,1.0,6088.0
0,0.9999999,64,0,423.0,8916.0,2,0,0,0,0.0,8916.0
0,0.443626281,53,0,0.253686578,4000.0,6,0,0,0,1.0,4000.0
0,0.002012856,59,0,1164.0,9666.0,2,0,1,0,0.0,9666.0
0,0.007749806,60,0,0.220213749,7578.0,8,0,1,0,0.0,4566.0
0,0.017926392,62,0,0.005187456,4240.0,6,0,0,0,0.0,4000.0
0,0.004195682,45,1,0.478190226,8000.0,12,0,2,0,1.0,13900.0
1,0.041191762,31,0,0.261369315,2000.0,3,0,0,0,0.0,4593.0
0,0.8397926440000002,54,0,0.68240621,3091.0,9,0,1,0,1.0,4322.0
0,0.033203829,71,0,0.318874019,6500.0,11,0,1,0,0.0,5400.0
0,0.036422035,30,0,1756.0,1.0,10,0,2,0,0.0,4100.0
0,0.0,68,0,0.634674923,1614.0,9,0,1,0,1.0,4322.0
0,0.5514406620000001,44,0,0.418147936,6975.0,14,0,2,0,1.0,4000.0
0,0.239551535,51,0,0.357444651,5916.0,10,0,1,0,1.0,1350.0
1,0.9999999,34,0,0.254256527,6166.0,5,1,1,1,2.0,3000.0
0,0.623875225,41,0,0.037185126,2500.0,2,0,0,0,1.0,8916.0
0,0.176443529,67,0,0.182522829,9417.0,15,0,2,0,0.0,2000.0
0,0.012739233999999999,70,0,0.008663779,3000.0,6,0,0,0,0.0,4000.0
0,0.007868766,63,0,1448.0,6600.0,6,0,1,0,0.0,6600.0
0,0.019477727,41,0,0.365306454,6150.0,12,0,2,0,0.0,13900.0
